route_no,from,to,route
314E,KBS (Majestic),DRDO 2nd Phase,"Corporation, Mayo Hall, Ulsoor, Indiranagar, Thippasandra, BEML gate, CV Raman Nagar, Kaggadasapura"
314F,KR Market,Basavanagar,"Town Hall, Mayo Hall, Ulsoor, Indiranagar, Thippasandra, BEML gate, Vignana Nagar"
314G,KBS (Majestic),Bhyrasandra,"Corporation, Mayo Hall, Ulsoor, Indiranagar, Thippasandra, BEML gate, GM Palya"
314H,KBS (Majestic),Malleshpalya,"Corporation, Mayo Hall, Ulsoor, Indiranagar, Thippasandra, BEML gate, G M Palya"
314K,C V Raman Nagar,Chennamanakere Achukattu,"Thippasandra, CMH Road, Trinity Circle, Vellara Junction, KH Road, Lalbagh West Gate, National College, Hanumantanagar"
314N,Shivajinagar,Vignananagar,"MG Road, Ulsoor, Indiranagar, Thippasandra, Malleshpalya"
315K,KBS(Majestic),K.R.Puram,"Kasturinagar, Channasandra Railway Bridge,�Ramamurthy Nagar"
317,KR Market,Hoskote,"Corporation, Bishop Cottons, M G Road, Ulsoor, Indiranagar Depot, Byapanahalli, Tin Factory, K R Puram, Hoskote"
315L,KBS(Majestic),Ramamurthy Nagar,"Isolation Hospital, Kasturinagar"
328B,Hosakote,Sarjapura,"Kadugodi, Varthur, Bommasandra"
328H,Hosakote,Attibelle,"Kadugodi, Whitefield, Varthur, Bommsandra, Sarjapura, Indiabele"
328HA,Kadugodi,Attibelle,
